scenario,account_id,date,amount,entity,description,source
Actual,5000,2024-01-21,11634.63,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-21,1667.81,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-29,22500.77,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-30,7339.7,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-02,3912.56,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-03,2840.54,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-05,16750.18,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-08,2496.83,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-16,12643.22,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-17,10139.49,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-25,12566.6,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-28,238.88,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-01,5003.49,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-04,6964.51,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-22,7532.67,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-22,850.35,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-24,3733.89,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-28,4664.36,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-29,14032.55,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-01-31,2071.51,West,Cost of Goods Sold,sample_gl
Actual,5010,2024-01-06,2665.86,North,Direct Labor,sample_gl
Actual,5010,2024-01-09,1381.35,North,Direct Labor,sample_gl
Actual,5010,2024-01-17,936.01,North,Direct Labor,sample_gl
Actual,5010,2024-01-17,4384.25,North,Direct Labor,sample_gl
Actual,5010,2024-01-24,3350.75,North,Direct Labor,sample_gl
Actual,5010,2024-01-25,2947.11,North,Direct Labor,sample_gl
Actual,5010,2024-01-29,5420.59,North,Direct Labor,sample_gl
Actual,5010,2024-01-30,3966.58,North,Direct Labor,sample_gl
Actual,5010,2024-01-01,2668.66,South,Direct Labor,sample_gl
Actual,5010,2024-01-01,5445.12,South,Direct Labor,sample_gl
Actual,5010,2024-01-04,48.09,South,Direct Labor,sample_gl
Actual,5010,2024-01-11,4137.64,South,Direct Labor,sample_gl
Actual,5010,2024-01-16,6925.23,South,Direct Labor,sample_gl
Actual,5010,2024-01-20,8112.61,South,Direct Labor,sample_gl
Actual,5010,2024-01-30,6050.0,South,Direct Labor,sample_gl
Actual,5010,2024-01-30,497.38,South,Direct Labor,sample_gl
Actual,5010,2024-01-03,3145.03,West,Direct Labor,sample_gl
Actual,5010,2024-01-05,2043.1,West,Direct Labor,sample_gl
Actual,5010,2024-01-16,1304.6,West,Direct Labor,sample_gl
Actual,5010,2024-01-18,3872.3,West,Direct Labor,sample_gl
Actual,5010,2024-01-24,1277.31,West,Direct Labor,sample_gl
Actual,5010,2024-01-25,1825.44,West,Direct Labor,sample_gl
Actual,5010,2024-01-25,7903.01,West,Direct Labor,sample_gl
Actual,5010,2024-01-27,3124.83,West,Direct Labor,sample_gl
Actual,6000,2024-01-07,753.36,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-10,1539.79,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-12,6585.84,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-13,7291.44,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-15,3668.83,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-21,1236.32,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-22,11145.01,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-23,3595.42,North,Salaries & Wages,sample_gl
Actual,6000,2024-01-01,1223.39,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-02,9622.03,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-03,2023.26,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-03,6036.0,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-08,1119.35,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-21,976.67,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-23,7170.58,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-29,10774.15,South,Salaries & Wages,sample_gl
Actual,6000,2024-01-04,2306.76,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-04,12780.21,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-07,2418.9,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-08,10010.25,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-14,309.82,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-16,235.37,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-26,8723.25,West,Salaries & Wages,sample_gl
Actual,6000,2024-01-26,5798.21,West,Salaries & Wages,sample_gl
Actual,6010,2024-01-02,731.67,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-04,628.91,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-08,420.32,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-11,78.64,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-13,2630.64,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-24,714.91,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-26,3282.5,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-28,1218.21,North,Rent & Facilities,sample_gl
Actual,6010,2024-01-01,1684.89,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-02,734.21,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-03,1740.13,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-04,766.98,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-18,2785.76,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-21,1136.84,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-27,386.77,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-30,998.4,South,Rent & Facilities,sample_gl
Actual,6010,2024-01-01,1453.07,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-09,1332.11,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-10,1185.57,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-13,1246.22,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-15,1526.69,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-26,2242.62,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-26,357.69,West,Rent & Facilities,sample_gl
Actual,6010,2024-01-30,42.97,West,Rent & Facilities,sample_gl
Actual,6020,2024-01-02,1585.02,North,Marketing,sample_gl
Actual,6020,2024-01-02,1529.81,North,Marketing,sample_gl
Actual,6020,2024-01-02,561.75,North,Marketing,sample_gl
Actual,6020,2024-01-11,6272.4,North,Marketing,sample_gl
Actual,6020,2024-01-16,1823.89,North,Marketing,sample_gl
Actual,6020,2024-01-18,5098.34,North,Marketing,sample_gl
Actual,6020,2024-01-19,2137.97,North,Marketing,sample_gl
Actual,6020,2024-01-24,776.0,North,Marketing,sample_gl
Actual,6020,2024-01-04,2966.47,South,Marketing,sample_gl
Actual,6020,2024-01-08,2084.47,South,Marketing,sample_gl
Actual,6020,2024-01-13,1247.69,South,Marketing,sample_gl
Actual,6020,2024-01-19,733.61,South,Marketing,sample_gl
Actual,6020,2024-01-22,130.69,South,Marketing,sample_gl
Actual,6020,2024-01-28,299.55,South,Marketing,sample_gl
Actual,6020,2024-01-29,3799.12,South,Marketing,sample_gl
Actual,6020,2024-01-31,786.68,South,Marketing,sample_gl
Actual,6020,2024-01-05,1130.42,West,Marketing,sample_gl
Actual,6020,2024-01-08,11.18,West,Marketing,sample_gl
Actual,6020,2024-01-09,3785.3,West,Marketing,sample_gl
Actual,6020,2024-01-10,2214.43,West,Marketing,sample_gl
Actual,6020,2024-01-13,4574.76,West,Marketing,sample_gl
Actual,6020,2024-01-15,3805.8,West,Marketing,sample_gl
Actual,6020,2024-01-21,36.74,West,Marketing,sample_gl
Actual,6020,2024-01-22,24.08,West,Marketing,sample_gl
Actual,6030,2024-01-03,948.8,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-05,1273.79,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-07,1456.46,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-09,552.52,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-12,783.14,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-17,273.82,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-29,649.36,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-30,76.79,North,Software & Subscriptions,sample_gl
Actual,6030,2024-01-04,530.11,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-10,41.57,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-18,93.42,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-22,683.74,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-27,1391.06,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-29,255.58,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-30,558.57,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-31,1398.55,South,Software & Subscriptions,sample_gl
Actual,6030,2024-01-07,17.48,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-09,437.66,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-09,909.22,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-16,724.37,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-17,1713.81,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-21,369.76,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-22,292.09,West,Software & Subscriptions,sample_gl
Actual,6030,2024-01-28,466.8,West,Software & Subscriptions,sample_gl
Actual,6040,2024-01-01,187.15,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-04,181.2,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-14,988.68,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-15,91.83,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-18,627.01,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-18,120.66,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-23,51.79,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-24,238.96,North,Travel & Entertainment,sample_gl
Actual,6040,2024-01-02,93.66,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-05,736.63,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-10,9.7,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-12,474.39,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-26,251.31,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-28,35.53,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-29,452.25,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-30,294.12,South,Travel & Entertainment,sample_gl
Actual,6040,2024-01-06,150.43,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-06,1865.62,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-08,2454.19,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-26,398.56,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-26,375.24,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-28,105.31,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-30,299.81,West,Travel & Entertainment,sample_gl
Actual,6040,2024-01-30,419.88,West,Travel & Entertainment,sample_gl
Actual,7000,2024-01-04,879.64,North,Interest Expense,sample_gl
Actual,7000,2024-01-06,327.27,North,Interest Expense,sample_gl
Actual,7000,2024-01-08,613.41,North,Interest Expense,sample_gl
Actual,7000,2024-01-09,1324.96,North,Interest Expense,sample_gl
Actual,7000,2024-01-13,84.0,North,Interest Expense,sample_gl
Actual,7000,2024-01-23,166.12,North,Interest Expense,sample_gl
Actual,7000,2024-01-26,53.68,North,Interest Expense,sample_gl
Actual,7000,2024-01-26,505.53,North,Interest Expense,sample_gl
Actual,7000,2024-01-03,461.96,South,Interest Expense,sample_gl
Actual,7000,2024-01-07,655.97,South,Interest Expense,sample_gl
Actual,7000,2024-01-09,482.83,South,Interest Expense,sample_gl
Actual,7000,2024-01-11,546.85,South,Interest Expense,sample_gl
Actual,7000,2024-01-13,421.6,South,Interest Expense,sample_gl
Actual,7000,2024-01-25,1192.55,South,Interest Expense,sample_gl
Actual,7000,2024-01-28,167.86,South,Interest Expense,sample_gl
Actual,7000,2024-01-31,75.5,South,Interest Expense,sample_gl
Actual,7000,2024-01-02,1266.04,West,Interest Expense,sample_gl
Actual,7000,2024-01-04,288.66,West,Interest Expense,sample_gl
Actual,7000,2024-01-06,199.26,West,Interest Expense,sample_gl
Actual,7000,2024-01-09,310.21,West,Interest Expense,sample_gl
Actual,7000,2024-01-09,263.01,West,Interest Expense,sample_gl
Actual,7000,2024-01-19,119.55,West,Interest Expense,sample_gl
Actual,7000,2024-01-20,493.76,West,Interest Expense,sample_gl
Actual,7000,2024-01-31,1095.62,West,Interest Expense,sample_gl
Actual,4000,2024-02-01,-11607.95,North,Product Revenue,sample_gl
Actual,4000,2024-02-17,-40467.5,North,Product Revenue,sample_gl
Actual,4000,2024-02-18,-2701.42,North,Product Revenue,sample_gl
Actual,4000,2024-02-22,-5643.81,North,Product Revenue,sample_gl
Actual,4000,2024-02-24,-49769.68,North,Product Revenue,sample_gl
Actual,4000,2024-02-24,-1060.17,North,Product Revenue,sample_gl
Actual,4000,2024-02-24,-29426.69,North,Product Revenue,sample_gl
Actual,4000,2024-02-26,-25212.74,North,Product Revenue,sample_gl
Actual,4000,2024-02-10,-24545.54,South,Product Revenue,sample_gl
Actual,4000,2024-02-10,-32467.13,South,Product Revenue,sample_gl
Actual,4000,2024-02-11,-20584.21,South,Product Revenue,sample_gl
Actual,4000,2024-02-14,-3479.89,South,Product Revenue,sample_gl
Actual,4000,2024-02-17,-49533.84,South,Product Revenue,sample_gl
Actual,4000,2024-02-22,-43481.91,South,Product Revenue,sample_gl
Actual,4000,2024-02-24,-7242.52,South,Product Revenue,sample_gl
Actual,4000,2024-02-29,-11499.97,South,Product Revenue,sample_gl
Actual,4000,2024-02-01,-33362.58,West,Product Revenue,sample_gl
Actual,4000,2024-02-07,-35666.41,West,Product Revenue,sample_gl
Actual,4000,2024-02-10,-3563.92,West,Product Revenue,sample_gl
Actual,4000,2024-02-10,-1279.85,West,Product Revenue,sample_gl
Actual,4000,2024-02-14,-16673.16,West,Product Revenue,sample_gl
Actual,4000,2024-02-18,-11665.25,West,Product Revenue,sample_gl
Actual,4000,2024-02-26,-38479.15,West,Product Revenue,sample_gl
Actual,4000,2024-02-27,-15427.43,West,Product Revenue,sample_gl
Actual,4010,2024-02-03,-9210.88,North,Service Revenue,sample_gl
Actual,4010,2024-02-06,-1180.01,North,Service Revenue,sample_gl
Actual,4010,2024-02-10,-5113.45,North,Service Revenue,sample_gl
Actual,4010,2024-02-17,-13772.73,North,Service Revenue,sample_gl
Actual,4010,2024-02-22,-1843.51,North,Service Revenue,sample_gl
Actual,4010,2024-02-22,-3623.78,North,Service Revenue,sample_gl
Actual,4010,2024-02-24,-3112.32,North,Service Revenue,sample_gl
Actual,4010,2024-02-26,-8398.94,North,Service Revenue,sample_gl
Actual,4010,2024-02-03,-304.62,South,Service Revenue,sample_gl
Actual,4010,2024-02-14,-10377.17,South,Service Revenue,sample_gl
Actual,4010,2024-02-15,-2722.11,South,Service Revenue,sample_gl
Actual,4010,2024-02-16,-13755.96,South,Service Revenue,sample_gl
Actual,4010,2024-02-20,-7437.89,South,Service Revenue,sample_gl
Actual,4010,2024-02-25,-1444.45,South,Service Revenue,sample_gl
Actual,4010,2024-02-28,-2213.78,South,Service Revenue,sample_gl
Actual,4010,2024-02-29,-16681.55,South,Service Revenue,sample_gl
Actual,4010,2024-02-04,-2549.27,West,Service Revenue,sample_gl
Actual,4010,2024-02-08,-6379.4,West,Service Revenue,sample_gl
Actual,4010,2024-02-14,-3721.57,West,Service Revenue,sample_gl
Actual,4010,2024-02-25,-10521.48,West,Service Revenue,sample_gl
Actual,4010,2024-02-25,-3121.76,West,Service Revenue,sample_gl
Actual,4010,2024-02-25,-16771.26,West,Service Revenue,sample_gl
Actual,4010,2024-02-28,-5565.22,West,Service Revenue,sample_gl
Actual,4010,2024-02-29,-2133.8,West,Service Revenue,sample_gl
Actual,5000,2024-02-11,33508.74,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-15,2125.12,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-18,3042.12,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-20,12099.8,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-20,1721.16,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-25,6135.51,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-27,4704.25,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-29,7256.4,North,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-08,4256.82,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-09,10670.81,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-09,158.35,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-21,611.5,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-25,1866.89,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-25,11075.08,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-25,5793.2,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-27,20505.91,South,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-03,12878.03,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-05,12500.14,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-07,508.99,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-08,272.04,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-13,7625.14,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-14,2581.92,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-23,19971.27,West,Cost of Goods Sold,sample_gl
Actual,5000,2024-02-23,5925.0,West,Cost of Goods Sold,sample_gl
Actual,5010,2024-02-01,154.55,North,Direct Labor,sample_gl
Actual,5010,2024-02-13,9065.95,North,Direct Labor,sample_gl
Actual,5010,2024-02-16,1763.12,North,Direct Labor,sample_gl
Actual,5010,2024-02-19,8610.68,North,Direct Labor,sample_gl
Actual,5010,2024-02-23,156.21,North,Direct Labor,sample_gl
Actual,5010,2024-02-25,2620.54,North,Direct Labor,sample_gl
Actual,5010,2024-02-28,2620.79,North,Direct Labor,sample_gl
Actual,5010,2024-02-29,1220.71,North,Direct Labor,sample_gl
Actual,5010,2024-02-01,2849.07,South,Direct Labor,sample_gl
Actual,5010,2024-02-08,835.27,South,Direct Labor,sample_gl
Actual,5010,2024-02-08,3819.17,South,Direct Labor,sample_gl
Actual,5010,2024-02-09,1522.16,South,Direct Labor,sample_gl
Actual,5010,2024-02-13,1408.01,South,Direct Labor,sample_gl
Actual,5010,2024-02-14,3457.13,South,Direct Labor,sample_gl
Actual,5010,2024-02-16,1269.86,South,Direct Labor,sample_gl
Actual,5010,2024-02-16,7162.6,South,Direct Labor,sample_gl
Actual,5010,2024-02-01,4610.69,West,Direct Labor,sample_gl
Actual,5010,2024-02-01,1989.8,West,Direct Labor,sample_gl
Actual,5010,2024-02-03,1704.85,West,Direct Labor,sample_gl
Actual,5010,2024-02-13,257.46,West,Direct Labor,sample_gl
Actual,5010,2024-02-19,2311.63,West,Direct Labor,sample_gl
Actual,5010,2024-02-19,661.85,West,Direct Labor,sample_gl
Actual,5010,2024-02-21,10456.8,West,Direct Labor,sample_gl
Actual,5010,2024-02-22,3378.14,West,Direct Labor,sample_gl
Actual,6000,2024-02-01,14546.63,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-03,7875.14,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-09,4602.45,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-14,66.95,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-16,4259.68,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-24,1122.29,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-27,9089.55,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-27,3.83,North,Salaries & Wages,sample_gl
Actual,6000,2024-02-01,4406.54,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-05,5464.55,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-05,4339.59,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-07,3703.48,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-08,328.48,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-08,5097.71,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-20,13169.39,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-27,2012.52,South,Salaries & Wages,sample_gl
Actual,6000,2024-02-01,8753.37,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-04,7810.96,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-06,8848.7,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-10,719.46,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-10,10525.14,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-19,3418.49,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-25,1476.08,West,Salaries & Wages,sample_gl
Actual,6000,2024-02-27,2583.22,West,Salaries & Wages,sample_gl
Actual,6010,2024-02-04,405.77,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-08,275.53,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-10,4582.29,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-20,327.89,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-22,944.43,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-23,1330.91,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-25,91.89,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-28,1921.41,North,Rent & Facilities,sample_gl
Actual,6010,2024-02-04,2692.2,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-12,1648.77,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-14,2709.54,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-14,264.02,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-16,741.66,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-21,204.43,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-27,1363.3,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-29,344.16,South,Rent & Facilities,sample_gl
Actual,6010,2024-02-14,862.94,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-15,1565.32,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-16,244.28,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-18,1954.78,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-19,3644.65,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-24,208.93,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-25,297.91,West,Rent & Facilities,sample_gl
Actual,6010,2024-02-27,1178.65,West,Rent & Facilities,sample_gl
Actual,6020,2024-02-01,97.24,North,Marketing,sample_gl
Actual,6020,2024-02-06,2549.21,North,Marketing,sample_gl
Actual,6020,2024-02-07,613.75,North,Marketing,sample_gl
Actual,6020,2024-02-11,3456.62,North,Marketing,sample_gl
Actual,6020,2024-02-12,925.82,North,Marketing,sample_gl
Actual,6020,2024-02-16,790.17,North,Marketing,sample_gl
Actual,6020,2024-02-16,648.92,North,Marketing,sample_gl
Actual,6020,2024-02-28,497.52,North,Marketing,sample_gl
Actual,6020,2024-02-03,950.49,South,Marketing,sample_gl
Actual,6020,2024-02-08,1313.0,South,Marketing,sample_gl
Actual,6020,2024-02-08,2749.99,South,Marketing,sample_gl
Actual,6020,2024-02-14,1584.08,South,Marketing,sample_gl
Actual,6020,2024-02-16,456.65,South,Marketing,sample_gl
Actual,6020,2024-02-18,12.03,South,Marketing,sample_gl
